fleet_id,record_type,timestamp,elapsed_time,trigger_channel,peak_valley_indicator,strain_gauge_1,strain_gauge_2,strain_gauge_3,strain_gauge_4,strain_gauge_5,strain_gauge_6,strain_gauge_7,strain_gauge_8,strain_gauge_9,roll_acceleration,vertical_acceleration,airspeed,pressure_altitude,flap_position,elevator_position,left_aileron_position,beacon_start_stop_recording,gear_up_and_locked,flight_id
20030,TR,09:23.2,196.16,11,V,328.69,-6982.51,-71.07,7660.62,0,1270.35,14.81,-5.92,-29.61,-0.08,0.93,57.38,-450.3,15.34,-2.13,2.85,1,0,201
20031,TR,09:23.6,196.56,11,P,325.73,-6985.47,-71.07,7651.74,0,1264.43,-26.65,-11.84,-14.81,-0.14,1.04,56.76,-477.43,15.36,-2,2.85,1,0,201
20032,TR,09:23.6,196.61,11,V,337.58,-6926.25,-65.15,7651.74,0,1270.35,8.88,-5.92,-23.69,-0.02,0.92,56.76,-450.3,15.36,-2.02,2.91,1,0,201
20033,TR,09:24.3,197.26,11,P,325.73,-7059.5,-82.91,7636.93,0,1252.59,-32.57,-17.77,-14.81,0.08,1.04,57.38,-423.18,15.34,-2.08,2.82,1,0,201
20034,TR,09:25.1,198.08,11,V,307.96,-6834.45,-76.99,7631.01,0,1267.39,29.61,-8.88,-17.77,-0.08,0.93,57.07,-450.3,15.34,-2.1,2.88,1,0,201
20035,TR,09:25.6,198.61,11,P,316.85,-6899.6,-71.07,7628.05,0,1252.59,-38.5,-14.81,-11.84,-0.17,1.04,56.76,-504.56,15.33,-2.08,2.85,1,0,201
20036,TR,09:26.0,198.96,11,V,310.93,-6837.41,-82.91,7625.09,0,1258.51,23.69,-8.88,-26.65,-0.01,0.92,57.07,-450.3,15.36,-2.1,2.85,1,0,201
20037,TR,09:29.1,202.08,11,P,302.04,-6810.76,-71.07,7657.66,0,1255.55,-5.92,-20.73,-8.88,-0.1,1.05,56.76,-450.3,15.33,-2.1,2.88,1,0,201
20038,PE,09:36.8,209.8,,,293.16,-6867.02,-65.15,7705.04,0,1255.55,-5.92,-8.88,-14.81,-0.17,1.01,57.38,-504.56,15.36,-2.08,2.88,1,0,201
20039,TR,09:40.4,213.36,11,V,307.96,-6946.98,-71.07,7716.89,0,1273.32,2.96,-17.77,-17.77,-0.03,0.93,56.76,-396.05,15.34,-2.08,2.85,1,0,201
20040,TR,09:42.6,215.61,11,P,290.2,-6733.77,-71.07,7690.24,0,1252.59,-11.84,-14.81,-20.73,0.01,1.05,56.76,-504.56,15.34,-2.08,2.85,1,0,201
20041,TR,09:46.4,219.36,11,V,307.96,-6757.46,-65.15,7719.85,0,1279.24,-5.92,-20.73,-8.88,-0.1,0.93,56.76,-423.18,15.32,-2.1,2.85,1,0,201
20042,TR,09:46.5,219.51,11,P,313.89,-6564.98,-71.07,7696.16,0,1246.67,0,-8.88,-14.81,-0.04,1.04,56.46,-450.3,15.34,-2.1,2.85,1,0,201
20043,TR,09:48.0,220.96,11,V,305,-6600.51,-65.15,7690.24,0,1270.35,-11.84,-20.73,-14.81,-0.05,0.92,55.84,-477.43,15.33,-2.1,2.91,1,0,201
20044,TR,09:49.2,222.21,11,P,302.04,-6576.83,-62.19,7696.16,0,1249.63,8.88,-5.92,-23.69,-0.13,1.06,56.76,-368.92,15.33,-2.1,2.85,1,0,201
20045,TR,09:49.3,222.31,11,V,305,-6730.81,-76.99,7696.16,0,1249.63,2.96,-8.88,-17.77,0.07,0.93,56.15,-450.3,15.34,-2.08,2.85,1,0,201
